,load_kw,pv_kw,grid_import_kw,batt_charge_kw,batt_discharge_kw,batt_soc_kwh,price_dkk_per_kwh,co2_g_per_kwh,Tout_C
2025-09-25 00:00:00,0.817377358490566,0.0,3.817377358490566,3.0,0.0,1.0475,1.308230383810851,170.0,11.9
2025-09-25 00:01:00,0.8180620539494374,0.0,3.818062053949437,3.0,0.0,1.0950000000000002,1.3167451399252512,170.00076154234125,11.891666666666667
2025-09-25 00:02:00,0.8187469150737963,0.0,3.8187469150737963,3.0,0.0,1.1425000000000003,1.3252629883705218,170.0030461548663,11.883333333333333
2025-09-25 00:03:00,0.819431941923775,0.0,3.819431941923775,3.0,0.0,1.1900000000000004,1.3337833683958764,170.00685379407943,11.875
2025-09-25 00:04:00,0.8201171345595353,0.0,3.8201171345595353,3.0,0.0,1.2375000000000005,1.3423057192695766,170.0121843874887,11.866666666666667
2025-09-25 00:05:00,0.8208024930412682,0.0,3.8208024930412683,3.0,0.0,1.2850000000000006,1.3508294803202945,170.01903783360729,11.858333333333334
2025-09-25 00:06:00,0.821488017429194,0.0,3.821488017429194,3.0,0.0,1.3325000000000007,1.3593540909784867,170.02741400195544,11.85
2025-09-25 00:07:00,0.8221737077835612,0.0,3.8221737077835614,3.0,0.0,1.3800000000000008,1.3678789908177704,170.03731273306298,11.841666666666667
2025-09-25 00:08:00,0.8228595641646489,0.0,3.822859564164649,3.0,0.0,1.4275000000000009,1.376403619596304,170.04873383847234,11.833333333333334
2025-09-25 00:09:00,0.8235455866327642,0.0,3.8235455866327643,3.0,0.0,1.475000000000001,1.3849274172981696,170.06167710074217,11.825000000000001
2025-09-25 00:10:00,0.8242317752482442,0.0,3.8242317752482444,3.0,0.0,1.522500000000001,1.393449824174749,170.07614227345138,11.816666666666666
2025-09-25 00:11:00,0.8249181300714545,0.0,3.8249181300714543,3.0,0.0,1.5700000000000012,1.4019702807861008,170.09212908120395,11.808333333333334
2025-09-25 00:12:00,0.8256046511627906,0.0,3.8256046511627906,3.0,0.0,1.6175000000000013,1.4104882280423283,170.1096372196341,11.8
2025-09-25 00:13:00,0.826291338582677,0.0,3.826291338582677,3.0,0.0,1.6650000000000014,1.4190031072449385,170.1286663554121,11.791666666666668
2025-09-25 00:14:00,0.8269781923915677,0.0,3.8269781923915676,3.0,0.0,1.7125000000000015,1.4275143601281919,170.14921612625062,11.783333333333333
2025-09-25 00:15:00,0.8276652126499454,0.0,3.8276652126499453,3.0,0.0,1.7600000000000016,1.4360214289004392,170.17128614091172,11.775
2025-09-25 00:16:00,0.8283523994183227,0.0,3.8283523994183226,3.0,0.0,1.8075000000000017,1.4445237562854405,170.19487597921406,11.766666666666667
2025-09-25 00:17:00,0.8290397527572416,0.0,3.8290397527572417,3.0,0.0,1.8550000000000018,1.453020785563671,170.21998519204115,11.758333333333333
2025-09-25 00:18:00,0.8297272727272728,0.0,3.829727272727273,3.0,0.0,1.9025000000000019,1.4615119606136036,170.24661330134978,11.75
2025-09-25 00:19:00,0.8304149593890168,0.0,3.830414959389017,3.0,0.0,1.950000000000002,1.4699967259529751,170.27475980017908,11.741666666666667
2025-09-25 00:20:00,0.8311028128031037,0.0,3.8311028128031035,3.0,0.0,1.997500000000002,1.4784745267800234,170.30442415266037,11.733333333333334
2025-09-25 00:21:00,0.8317908330301929,0.0,3.831790833030193,3.0,0.0,2.045000000000002,1.4869448090147057,170.33560579402706,11.725
2025-09-25 00:22:00,0.8324790201309725,0.0,3.8324790201309726,3.0,0.0,2.092500000000002,1.4954070193398836,170.3683041306257,11.716666666666667
2025-09-25 00:23:00,0.8331673741661613,0.0,3.833167374166161,3.0,0.0,2.140000000000002,1.5038606052424863,170.40251853992706,11.708333333333334
2025-09-25 00:24:00,0.8338558951965065,0.0,3.8338558951965065,3.0,0.0,2.1875000000000018,1.5123050150546362,170.43824837053813,11.700000000000001
2025-09-25 00:25:00,0.8345445832827855,0.0,3.8345445832827854,3.0,0.0,2.2350000000000017,1.520739697994749,170.47549294221443,11.691666666666666
2025-09-25 00:26:00,0.8352334384858043,0.0,3.8352334384858042,3.0,0.0,2.2825000000000015,1.5291641042085935,170.514251545873,11.683333333333334
2025-09-25 00:27:00,0.8359224608663997,0.0,3.8359224608663998,3.0,0.0,2.3300000000000014,1.5375776848103215,170.5545234436059,11.675
2025-09-25 00:28:00,0.8366116504854368,0.0,3.8366116504854366,3.0,0.0,2.3775000000000013,1.5459798919234564,170.59630786869423,11.666666666666668
2025-09-25 00:29:00,0.8373010074038112,0.0,3.837301007403811,3.0,0.0,2.425000000000001,1.5543701787218465,170.63960402562282,11.658333333333333
2025-09-25 00:30:00,0.8379905316824472,0.0,3.837990531682447,3.0,0.0,2.472500000000001,1.5627479994705753,170.68441109009518,11.65
2025-09-25 00:31:00,0.8386802233822993,0.0,3.8386802233822994,3.0,0.0,2.520000000000001,1.5711128095668339,170.7307282090494,11.641666666666667
2025-09-25 00:32:00,0.8393700825643517,0.0,3.8393700825643515,3.0,0.0,2.567500000000001,1.579464065580746,170.77855450067437,11.633333333333333
2025-09-25 00:33:00,0.8400601092896175,0.0,3.8400601092896176,3.0,0.0,2.6150000000000007,1.5878012252961538,170.8278890544264,11.625
2025-09-25 00:34:00,0.84075030361914,0.0,3.84075030361914,3.0,0.0,2.6625000000000005,1.5961237477513557,170.87873093104665,11.616666666666667
2025-09-25 00:35:00,0.8414406656139923,0.0,3.8414406656139923,3.0,0.0,2.7100000000000004,1.6044310932797978,170.93107916257915,11.608333333333334
2025-09-25 00:36:00,0.842131195335277,0.0,3.842131195335277,3.0,0.0,2.7575000000000003,1.61272272355072,170.984932752389,11.6
2025-09-25 00:37:00,0.8428218928441259,0.0,3.842821892844126,3.0,0.0,2.805,1.6209981016097519,171.04029067518144,11.591666666666667
2025-09-25 00:38:00,0.843512758201701,0.0,3.843512758201701,3.0,0.0,2.8525,1.6292566919194587,171.09715187702147,11.583333333333334
2025-09-25 00:39:00,0.8442037914691942,0.0,3.8442037914691944,3.0,0.0,2.9,1.637497960399841,171.15551527535376,11.575000000000001
2025-09-25 00:40:00,0.8448949927078269,0.0,3.844894992707827,3.0,0.0,2.9475,1.6457213744687775,171.21537975902336,11.566666666666666
2025-09-25 00:41:00,0.8455863619788501,0.0,3.84558636197885,3.0,0.0,2.9949999999999997,1.653926403082423,171.27674418829673,11.558333333333334
2025-09-25 00:42:00,0.8462778993435448,0.0,3.8462778993435447,3.0,0.0,3.0424999999999995,1.6621125167755475,171.33960739488361,11.55
2025-09-25 00:43:00,0.8469696048632218,0.0,3.846969604863222,3.0,0.0,3.0899999999999994,1.670279187701828,171.40396818195921,11.541666666666668
2025-09-25 00:44:00,0.8476614785992218,0.0,3.847661478599222,3.0,0.0,3.1374999999999993,1.6784258896740838,171.4698253241869,11.533333333333333
2025-09-25 00:45:00,0.848353520612915,0.0,3.848353520612915,3.0,0.0,3.184999999999999,1.6865520982044593,171.53717756774157,11.525
2025-09-25 00:46:00,0.8490457309657018,0.0,3.8490457309657016,3.0,0.0,3.232499999999999,1.6946572905445525,171.60602363033365,11.516666666666667
2025-09-25 00:47:00,0.8497381097190123,0.0,3.8497381097190124,3.0,0.0,3.279999999999999,1.7027409457254918,171.6763622012333,11.508333333333333
2025-09-25 00:48:00,0.8504306569343065,0.0,3.8504306569343063,3.0,0.0,3.327499999999999,1.7108025445979533,171.74819194129554,11.5
2025-09-25 00:49:00,0.8511233726730746,0.0,3.8511233726730745,3.0,0.0,3.3749999999999987,1.7188415698721298,171.8215114829857,11.491666666666667
2025-09-25 00:50:00,0.8518162569968362,0.0,3.851816256996836,3.0,0.0,3.4224999999999985,1.7268575061576432,171.89631943040536,11.483333333333334
2025-09-25 00:51:00,0.8525093099671414,0.0,3.8525093099671412,3.0,0.0,3.4699999999999984,1.7348498400033998,171.97261435931898,11.475
2025-09-25 00:52:00,0.8532025316455696,0.0,3.85320253164557,3.0,0.0,3.5174999999999983,1.7428180599373995,172.0503948171812,11.466666666666667
2025-09-25 00:53:00,0.853895922093731,0.0,3.8538959220937308,3.0,0.0,3.564999999999998,1.7507616565064832,172.1296593231641,11.458333333333334
2025-09-25 00:54:00,0.8545894813732651,0.0,3.854589481373265,3.0,0.0,3.612499999999998,1.7586801223160344,172.2104063681859,11.450000000000001
2025-09-25 00:55:00,0.8552832095458419,0.0,3.855283209545842,3.0,0.0,3.659999999999998,1.7665729520696232,172.29263441493907,11.441666666666666
2025-09-25 00:56:00,0.8559771066731612,0.0,3.855977106673161,3.0,0.0,3.707499999999998,1.7744396426086013,172.3763418979203,11.433333333333334
2025-09-25 00:57:00,0.8566711728169528,0.0,3.8566711728169527,3.0,0.0,3.7549999999999977,1.7822796929516478,172.46152722345965,11.425
2025-09-25 00:58:00,0.8573654080389768,0.0,3.8573654080389765,3.0,0.0,3.8024999999999975,1.7900926043342609,172.5481887697514,11.416666666666668
2025-09-25 00:59:00,0.8580598124010234,0.0,3.8580598124010232,3.0,0.0,3.8499999999999974,1.7978778802482034,172.63632488688455,11.408333333333333
2025-09-25 01:00:00,0.8587543859649123,0.0,3.8587543859649123,3.0,0.0,3.8974999999999973,1.8056350264808996,172.72593389687455,11.4
2025-09-25 01:01:00,0.8594491287924941,0.0,3.859449128792494,3.0,0.0,3.944999999999997,1.813363551154787,172.81701409369495,11.391666666666667
2025-09-25 01:02:00,0.8601440409456496,0.0,3.8601440409456496,3.0,0.0,3.992499999999997,1.8210629647666199,172.90956374331017,11.383333333333333
2025-09-25 01:03:00,0.8608391224862888,0.0,3.860839122486289,3.0,0.0,4.039999999999997,1.8287327802267308,173.00358108370824,11.375
2025-09-25 01:04:00,0.861534373476353,0.0,3.8615343734763528,3.0,0.0,4.087499999999998,1.8363725128982504,173.0990643249345,11.366666666666667
2025-09-25 01:05:00,0.862229793977813,0.0,3.862229793977813,3.0,0.0,4.134999999999998,1.843981680636285,173.1960116491257,11.358333333333334
2025-09-25 01:06:00,0.8629253840526702,0.0,3.8629253840526703,3.0,0.0,4.182499999999998,1.8515598038270555,173.29442121054456,11.35
2025-09-25 01:07:00,0.8636211437629557,0.0,3.8636211437629555,3.0,0.0,4.229999999999999,1.859106405427001,173.39429113561485,11.341666666666667
2025-09-25 01:08:00,0.8643170731707316,0.0,3.8643170731707315,3.0,0.0,4.277499999999999,1.8666210110018457,173.49561952295716,11.333333333333334
2025-09-25 01:09:00,0.8650131723380899,0.0,3.86501317233809,3.0,0.0,4.324999999999999,1.8741031487656339,173.59840444342507,11.325000000000001
